ENUM_NAME,VALUE_PARAM,FILE,LINE_APPROX,PATTERN_TYPE,CALL_FUNCTION,SEMANTICS
A_HANDSHAKE,PROTOCOL_SIGNATURE,ProtonPack/include/Serial.h,378,CONSTANT,packSerialSend,Version handshake signature
A_HANDSHAKE,PROTOCOL_SIGNATURE,ProtonPack/include/Serial.h,395,CONSTANT,attenuatorSerialSend,Version handshake signature
A_HANDSHAKE,PROTOCOL_SIGNATURE,Attenuator/include/Serial.h,332,CONSTANT,attenuatorSerialSend,Version handshake signature
A_HANDSHAKE,PROTOCOL_SIGNATURE,NeutronaWand/include/Serial.h,830,CONSTANT,wandSerialSend,Version handshake signature
A_SYNC_START,PROTOCOL_SIGNATURE,ProtonPack/include/Serial.h,976,CONSTANT,attenuatorSerialSend,Sync session initiator
A_SYNC_START,PROTOCOL_SIGNATURE,Attenuator/include/Serial.h,336,CONSTANT,attenuatorSerialSend,Sync session initiator
A_SYNC_START,b_pack_post_finish ? 2 : 1,ProtonPack/include/Serial.h,1121,VARIABLE,packSerialSend,Post-finish sync state
A_SYNC_NOW,PROTOCOL_SIGNATURE,NeutronaWand/include/Serial.h,826,CONSTANT,wandSerialSend,Immediate sync request
A_SET_STREAM_MODE,(uint8_t)new_mode,Attenuator/include/System.h,99,VARIABLE,attenuatorSerialSend,Streaming mode configuration
A_SET_STREAM_MODE,gpstarPack.getStreamModeByte(),ProtonPack/include/Serial.h,573,FUNCTION_CALL,attenuatorSerialSend,Pack streaming mode byte
A_SET_STREAM_MODE,gpstarPack.getStreamModeByte(),ProtonPack/include/Serial.h,1776,FUNCTION_CALL,attenuatorSerialSend,Pack streaming mode byte
A_SET_STREAM_MODE,gpstarWand.getStreamModeByte(),NeutronaWand/include/System.h,179,FUNCTION_CALL,wandSerialSend,Wand streaming mode byte
A_SET_STREAM_MODE,gpstarWand.getStreamModeByte(),NeutronaWand/include/System.h,10464,FUNCTION_CALL,wandSerialSend,Wand streaming mode byte
A_SET_STREAM_MODE,gpstarWand.getStreamModeByte(),NeutronaWand/include/Command.h,274,FUNCTION_CALL,wandSerialSend,Wand streaming mode byte
A_SET_STREAM_MODE,(uint8_t)SETTINGS,NeutronaWand/include/System.h,2957,CONSTANT,wandSerialSend,Settings stream mode
A_SET_STREAM_MODE,(uint8_t)SETTINGS,NeutronaWand/include/main.cpp,451,CONSTANT,wandSerialSend,Settings stream mode
A_SET_STREAM_MODE,gpstarPack.getStreamModeByte(),ProtonPack/include/Command.h,429,FUNCTION_CALL,packSerialSend,Pack streaming mode byte
A_SET_FIRING_MODE,FLAG_VG_MODE,NeutronaWand/include/Serial.h,408,CONSTANT,wandSerialSend,Video game firing mode
A_SET_FIRING_MODE,FLAG_CTS_MODE,NeutronaWand/include/Serial.h,414,CONSTANT,wandSerialSend,Cross-the-streams firing mode
A_SET_FIRING_MODE,FLAG_CTS_MIX_MODE,NeutronaWand/include/Serial.h,424,CONSTANT,wandSerialSend,CTS mixed firing mode
A_SET_FIRING_MODE,FLAG_VG_MODE,NeutronaWand/include/System.h,545,CONSTANT,wandSerialSend,Video game firing mode
A_SET_FIRING_MODE,FLAG_CTS_MIX_MODE,NeutronaWand/include/System.h,553,CONSTANT,wandSerialSend,CTS mixed firing mode
